2015-02,日本,基隆市,22151179,5015
2015-02,美國,基隆市,10662192,3198
2015-02,中國,基隆市,8397110,3066
2015-02,愛爾蘭,基隆市,1724878,2040
2015-02,新加坡,基隆市,4026518,1213
2015-02,香港,基隆市,5147279,1189
2015-02,南韓,基隆市,3733805,762
2015-02,泰國,基隆市,1622062,435
2015-03,英國,基隆市,23417798,22816
2015-03,盧森堡,基隆市,8096373,10849
2015-03,中國,基隆市,25528899,6249
2015-03,日本,基隆市,25639803,5900
2015-03,美國,基隆市,13824985,3771
2015-03,愛爾蘭,基隆市,1647318,2361
2015-03,新加坡,基隆市,6289681,1588
2015-03,香港,基隆市,6624670,1297
2015-03,南韓,基隆市,4592964,835
2015-03,泰國,基隆市,2605757,477
2015-04,英國,基隆市,25170292,23378
2015-04,盧森堡,基隆市,8377702,12362
2015-04,日本,基隆市,25683268,5914
2015-04,中國,基隆市,15942968,5964
2015-04,美國,基隆市,13983128,3726
2015-04,愛爾蘭,基隆市,2217831,2433
2015-04,新加坡,基隆市,6036904,1609
2015-04,香港,基隆市,7992861,1454
2015-04,南韓,基隆市,4667606,1031
2015-04,荷蘭,基隆市,1316373,410
2015-05,英國,基隆市,27201897,25103
2015-05,盧森堡,基隆市,9980029,14325
2015-05,日本,基隆市,28817150,6861
2015-05,中國,基隆市,14357921,6581
2015-05,美國,基隆市,16305062,3917
2015-05,愛爾蘭,基隆市,2727203,2731
2015-05,新加坡,基隆市,7979402,1827
2015-05,香港,基隆市,8436115,1555
2015-05,南韓,基隆市,5043554,1106
2015-05,荷蘭,基隆市,1158830,769
2015-06,英國,基隆市,30867737,23685
2015-06,盧森堡,基隆市,9223542,13810
2015-06,日本,基隆市,37773840,7963
2015-06,中國,基隆市,20068314,6717
2015-06,美國,基隆市,27064137,4333
2015-06,愛爾蘭,基隆市,2460532,2527
2015-06,新加坡,基隆市,7341010,1766
2015-06,香港,基隆市,8680883,1580
2015-06,荷蘭,基隆市,1703034,845
2015-06,法國,基隆市,9270785,496
2015-07,英國,基隆市,28935149,24193
2015-07,盧森堡,基隆市,9604276,14408
2015-07,日本,基隆市,34314021,7777
2015-07,中國,基隆市,20358203,7154
2015-07,美國,基隆市,13998773,3884
2015-07,新加坡,基隆市,10226923,2596
2015-07,愛爾蘭,基隆市,2671132,2785
2015-07,香港,基隆市,8375972,1734
2015-07,荷蘭,基隆市,1207596,1062
2015-07,法國,基隆市,3591850,417
2015-08,英國,基隆市,31808545,28328
2015-08,盧森堡,基隆市,10691645,16075
2015-08,日本,基隆市,31659472,7287
2015-08,中國,基隆市,17304769,7585
2015-08,美國,基隆市,17119149,4292
2015-08,新加坡,基隆市,7531757,2681
2015-08,愛爾蘭,基隆市,2368059,2235
2015-08,香港,基隆市,8494394,1742
