107.09.11,FS2,越瓜-加工,104,台北二,40,40,40,40,60
107.09.11,FT1,南瓜-木瓜形,104,台北二,31.5,19.2,7.2,19.3,2575
107.09.11,FT2,南瓜-圓形,104,台北二,28,20.8,5,19.1,376
107.09.11,FT3,南瓜-黃如意,104,台北二,65,65,31.7,58.3,60
107.09.11,FT5,南瓜-青如意,104,台北二,95.2,62.5,27.7,62.1,678
107.09.11,FT7,南瓜-栗子,104,台北二,35.8,20,20,23.2,244
107.09.11,FT9,南瓜-進口,104,台北二,35,33.1,30,32.9,140
107.09.11,FU1,隼人瓜,104,台北二,20.3,14.1,11.1,14.8,2760
107.09.11,FU2,隼人瓜苗-瓜苗,104,台北二,119,105,93.5,105.5,1214
107.09.11,FU3,石蓮花,104,台北二,25,25,25,25,10
107.09.11,FV0,辣椒-其他,104,台北二,100,78.2,70,80.9,45
107.09.11,FV1,辣椒-紅小,104,台北二,158.7,101.4,48.8,102.3,691
107.09.11,FV2,辣椒-青小,104,台北二,105,95.2,70,92.1,19
107.09.11,FV4,辣椒-朝天椒,104,台北二,107,84.9,68.1,85.9,896
107.09.11,FV6,辣椒-糯米椒,104,台北二,78.7,57,23.3,54.6,742
107.09.11,FV9,辣椒-進口,104,台北二,40,31.9,3.5,27.9,820
107.09.11,FW1,金針花,104,台北二,65,65,65,65,13
107.09.11,FY0,玉米-其他,104,台北二,10,10,10,10,60
107.09.11,FY2,玉米-甜硬殼,104,台北二,31,14.7,10,17,60
107.09.11,FY3,玉米-超甜白,104,台北二,61.4,39.1,25.5,40.8,710
107.09.11,FY4,玉米-玉米筍,104,台北二,44.4,19.7,11.3,22.9,2015
107.09.11,FY5,玉米-糯米(黑),104,台北二,28,25.8,8.9,22.9,320
107.09.11,FY6,玉米-甜軟殼,104,台北二,62,38.2,12.7,37.9,2140
107.09.11,FY7,玉米-糯米(白),104,台北二,23,23,23,23,20
107.09.11,FY9,玉米-進口,104,台北二,128.7,116.9,94.5,114.8,1062
107.09.11,FZ1,落花生-生落花生,104,台北二,50,50,50,50,10
107.09.11,FZ2,落花生-熟落花生,104,台北二,85,85,85,85,138
107.09.11,G2,黃金果,104,台北二,125.7,61.2,60,73.9,101
107.09.11,G3,酪梨,104,台北二,116.3,83,49.1,82.9,3315
107.09.11,G49,奇異果-進口,104,台北二,90.4,61.2,40.8,63,5452
107.09.11,G7,橄欖,104,台北二,24,23.9,18,22.7,84
107.09.11,G9,波羅蜜,104,台北二,34,25.6,12,24.5,56
107.09.11,H1,文旦柚-文旦柚,104,台北二,54.3,15,8.1,21.5,87041
107.09.11,H41,葡萄柚-紅寶石,104,台北二,21.9,15.5,11.7,16,672
107.09.11,H5,葡萄柚-白肉,104,台北二,15.9,13,8,12.6,402
107.09.11,I1,木瓜-網室紅肉,104,台北二,48.9,35.9,21.7,35.7,12727
107.09.11,I2,木瓜-一般紅肉,104,台北二,5,5,5,5,112
107.09.11,I3,木瓜-日昇種,104,台北二,122.1,103,81.9,102.6,352
107.09.11,I4,木瓜-青木瓜,104,台北二,13.1,9.1,6.6,9.4,1239
107.09.11,K2,龍眼-十月眼,104,台北二,80,66.9,43,64.7,228
107.09.11,K3,龍眼-粉殼,104,台北二,89,54.5,30.4,56.6,3816
107.09.11,K4,龍眼-龍眼乾帶殼,104,台北二,154.2,84.1,75,96.3,76
107.09.11,LA1,甘藍-初秋,104,台北二,62.2,46.9,36.3,47.8,7212
107.09.11,LA2,甘藍-改良種,104,台北二,40.9,36.8,26.8,35.6,59232
107.09.11,LA4,甘藍-紫色,104,台北二,20,20,20,20,120
107.09.11,LA5,甘藍-甘藍心,104,台北二,60,60,50,58,240
107.09.11,LA6,甘藍-甘藍芽,104,台北二,32,32,32,32,13
107.09.11,LA9,甘藍-進口,104,台北二,21.7,18.5,13.1,18.1,14998
107.09.11,LB12,小白菜-土白菜,104,台北二,64.7,52.3,30.3,50.4,1759
107.09.11,LB22,小白菜-蚵仔白,104,台北二,55.7,47.7,36.7,47.1,9896
107.09.11,LB8,小白菜-水耕,104,台北二,100,78.8,60,79.3,58
107.09.11,LC0,包心白菜-其他,104,台北二,175,175,175,175,120
107.09.11,LC1,包心白菜-包白,104,台北二,39.5,35,26.8,34.3,7821
107.09.11,LC3,包心白菜-包頭蓮,104,台北二,36,35.6,34,35.4,292
107.09.11,LC9,包心白-進口,104,台北二,55,49.8,43.8,49.6,1510
107.09.11,LD1,青江白菜-小梗,104,台北二,66,55.9,46.9,56.1,5271
107.09.11,LE1,皇宮菜-小葉,104,台北二,79.9,51,36.1,53.8,1164
107.09.11,LE2,皇宮菜-大葉,104,台北二,41.8,35.4,33.9,36.4,184
107.09.11,LF1,蕹菜-大葉,104,台北二,22,22,22,22,73
107.09.11,LF2,蕹菜-小葉,104,台北二,69.4,53.6,37.5,53.5,8633
107.09.11,LF3,蕹菜-水蕹菜,104,台北二,85.7,73.3,42,69.5,470
107.09.11,LG2,芹菜-白梗,104,台北二,135,105.6,51.6,100.7,1409
107.09.11,LG4,芹菜-山芹菜,104,台北二,50,50,50,50,15
107.09.11,LG9,芹菜-進口,104,台北二,50,45.1,36,44.3,610
107.09.11,LH2,菠菜-角葉,104,台北二,83.8,55.4,45,59,650
107.09.11,LH9,菠菜-進口,104,台北二,72,72,72,72,65
107.09.11,LI0,萵苣菜-其他,104,台北二,144,95,95,104.8,194
107.09.11,LI1,萵苣菜-廣東萵,104,台北二,129,115,60,106.8,150
107.09.11,LI3,萵苣菜-本島圓葉,104,台北二,79.2,61.2,45.9,61.8,1469
107.09.11,LI5,萵苣菜-油麥菜,104,台北二,55.1,41.7,28.8,41.8,7164
107.09.11,LI6,萵苣菜-蘿美,104,台北二,110,96.9,90,98.2,600
107.09.11,LI8,萵苣菜-水耕,104,台北二,131.8,125.9,107.7,123.4,855
107.09.11,LI9,萵苣菜-進口,104,台北二,91.2,61.3,51.5,65.3,3977
107.09.11,LJ3,芥菜-大芥菜,104,台北二,20,20,20,20,160
107.09.11,LJ4,芥菜-小芥菜,104,台北二,62.4,49.7,36.1,49.5,1080
107.09.11,LK2,芥藍菜,104,台北二,60.2,43.9,32.1,44.8,2288
107.09.11,LK3,芥藍菜-芥藍芽,104,台北二,129.8,94,55.2,93.4,897
107.09.11,LM1,莧菜-紅莧菜,104,台北二,54.5,45,23.9,42.7,745
