2013-12-28,,2,星期六、星期日,
2013-12-29,,2,星期六、星期日,
2014-01-01,中華民國開國紀念日,2,放假之紀念日及節日,全國各機關學校放假一日。
2014-01-04,,2,星期六、星期日,
2014-01-05,,2,星期六、星期日,
2014-01-11,,2,星期六、星期日,
2014-01-12,,2,星期六、星期日,
2014-01-18,,2,星期六、星期日,
2014-01-19,,2,星期六、星期日,
2014-01-25,,2,星期六、星期日,
2014-01-26,,2,星期六、星期日,
2014-01-30,農曆除夕,2,放假之紀念日及節日,全國各機關學校放假一日。
2014-01-31,春節,2,放假之紀念日及節日,全國各機關學校於一月三十一日至二月二日放假三日，二月一日及二月二日適逢星期六、星期日，分別於二月三日及二月四日補假一日。
2014-02-01,春節,2,放假之紀念日及節日,全國各機關學校於一月三十一日至二月二日放假三日，二月一日及二月二日適逢星期六、星期日，分別於二月三日及二月四日補假一日。
2014-02-02,春節,2,放假之紀念日及節日,全國各機關學校於一月三十一日至二月二日放假三日，二月一日及二月二日適逢星期六、星期日，分別於二月三日及二月四日補假一日。
2014-02-03,,2,補假,
2014-02-04,,2,補假,
2014-02-08,,2,星期六、星期日,
2014-02-09,,2,星期六、星期日,
2014-02-15,,2,星期六、星期日,
2014-02-16,,2,星期六、星期日,
2014-02-22,,2,星期六、星期日,
2014-02-23,,2,星期六、星期日,
2014-02-28,和平紀念日,2,放假之紀念日及節日,全國各機關學校放假一日。
2014-03-01,,2,星期六、星期日,
2014-03-02,,2,星期六、星期日,
2014-03-08,婦女節,2,紀念日及節日,適逢星期六放假一日。
2014-03-09,,2,星期六、星期日,
2014-03-15,,2,星期六、星期日,
2014-03-16,,2,星期六、星期日,
2014-03-22,,2,星期六、星期日,
2014-03-23,,2,星期六、星期日,
2014-03-29,青年節,2,紀念日及節日,適逢星期六放假一日。
2014-03-30,,2,星期六、星期日,
2014-04-04,兒童節,2,放假之紀念日及節日,全國各機關學校放假一日。
2014-04-05,民族掃墓節,2,放假之紀念日及節日,全國各機關學校放假一日。
2014-04-06,,2,星期六、星期日,
2014-04-12,,2,星期六、星期日,
2014-04-13,,2,星期六、星期日,
2014-04-19,,2,星期六、星期日,
2014-04-20,,2,星期六、星期日,
2014-04-26,,2,星期六、星期日,
2014-04-27,,2,星期六、星期日,
2014-05-01,勞動節,2,特定節日,勞工放假一日。
2014-05-03,,2,星期六、星期日,
2014-05-04,,2,星期六、星期日,
2014-05-10,,2,星期六、星期日,
2014-05-11,,2,星期六、星期日,
2014-05-17,,2,星期六、星期日,
2014-05-18,,2,星期六、星期日,
2014-05-24,,2,星期六、星期日,
2014-05-25,,2,星期六、星期日,
2014-05-31,,2,星期六、星期日,
2014-06-01,,2,星期六、星期日,
2014-06-02,端午節,2,放假之紀念日及節日,全國各機關學校放假一日。
2014-06-07,,2,星期六、星期日,
2014-06-08,,2,星期六、星期日,
2014-06-14,,2,星期六、星期日,
2014-06-15,,2,星期六、星期日,
2014-06-21,,2,星期六、星期日,
2014-06-22,,2,星期六、星期日,
2014-06-28,,2,星期六、星期日,
2014-06-29,,2,星期六、星期日,
2014-07-05,,2,星期六、星期日,
2014-07-06,,2,星期六、星期日,
2014-07-12,,2,星期六、星期日,
2014-07-13,,2,星期六、星期日,
2014-07-19,,2,星期六、星期日,
2014-07-20,,2,星期六、星期日,
2014-07-26,,2,星期六、星期日,
2014-07-27,,2,星期六、星期日,
2014-08-02,,2,星期六、星期日,
2014-08-03,,2,星期六、星期日,
2014-08-09,,2,星期六、星期日,
2014-08-10,,2,星期六、星期日,
2014-08-16,,2,星期六、星期日,
2014-08-17,,2,星期六、星期日,
2014-08-23,,2,星期六、星期日,
2014-08-24,,2,星期六、星期日,
2014-08-30,,2,星期六、星期日,
2014-08-31,,2,星期六、星期日,
2014-09-03,軍人節,0,特定節日,軍人依國防部規定辦理
2014-09-06,,2,星期六、星期日,
2014-09-07,,2,星期六、星期日,
2014-09-08,中秋節,2,放假之紀念日及節日,全國各機關學校放假一日。
2014-09-13,,2,星期六、星期日,
2014-09-14,,2,星期六、星期日,
2014-09-20,,2,星期六、星期日,
2014-09-21,,2,星期六、星期日,
2014-09-27,,2,星期六、星期日,
2014-09-28,教師節,2,紀念日及節日,適逢星期日放假一日
2014-10-04,,2,星期六、星期日,
2014-10-05,,2,星期六、星期日,
2014-10-10,國慶日,2,放假之紀念日及節日,全國各機關學校放假一日。
2014-10-11,,2,星期六、星期日,
2014-10-12,,2,星期六、星期日,
2014-10-18,,2,星期六、星期日,
2014-10-19,,2,星期六、星期日,
2014-10-25,臺灣光復節,2,紀念日及節日,適逢星期六放假一日
2014-10-26,,2,星期六、星期日,
2014-11-01,,2,星期六、星期日,
2014-11-02,,2,星期六、星期日,
2014-11-08,,2,星期六、星期日,
2014-11-09,,2,星期六、星期日,
2014-11-12,國父誕辰紀念日(中華文化復興節),0,紀念日及節日,本日照常上班。
2014-11-15,,2,星期六、星期日,
2014-11-16,,2,星期六、星期日,
2014-11-22,,2,星期六、星期日,
2014-11-23,,2,星期六、星期日,
2014-11-29,,2,星期六、星期日,
2014-11-30,,2,星期六、星期日,
2014-12-06,,2,星期六、星期日,
2014-12-07,,2,星期六、星期日,
2014-12-13,,2,星期六、星期日,
2014-12-14,,2,星期六、星期日,
2014-12-20,,2,星期六、星期日,
2014-12-21,,2,星期六、星期日,
2014-12-25,行憲紀念日,0,紀念日及節日,本日照常上班。
2014-12-27,,0,補行上班日,
2014-12-28,,2,星期六、星期日,
2015-01-01,中華民國開國紀念日,2,放假之紀念日及節日,全國各機關學校放假一日。
2015-01-02,,2,調整放假日,
2015-01-03,,2,星期六、星期日,
2015-01-04,,2,星期六、星期日,
2015-01-10,,2,星期六、星期日,
2015-01-11,,2,星期六、星期日,
2015-01-17,,2,星期六、星期日,
2015-01-18,,2,星期六、星期日,
2015-01-24,,2,星期六、星期日,
2015-01-25,,2,星期六、星期日,
2015-01-31,,2,星期六、星期日,
2015-02-01,,2,星期六、星期日,
2015-02-07,,2,星期六、星期日,
2015-02-08,,2,星期六、星期日,
2015-02-14,,2,星期六、星期日,
2015-02-15,,2,星期六、星期日,
2015-02-18,農曆除夕,2,放假之紀念日及節日,全國各機關學校放假一日。
2015-02-19,春節,2,放假之紀念日及節日,全國各機關學校於二月十九日至二月二十一日放假三日，二月二十一日適逢星期六，於二月二十三日補假一日。
2015-02-20,春節,2,放假之紀念日及節日,全國各機關學校於二月十九日至二月二十一日放假三日，二月二十一日適逢星期六，於二月二十三日補假一日。
2015-02-21,春節,2,放假之紀念日及節日,全國各機關學校於二月十九日至二月二十一日放假三日，二月二十一日適逢星期六，於二月二十三日補假一日。
2015-02-22,,2,星期六、星期日,
2015-02-23,,2,補假,
2015-02-27,,2,補假,
2015-02-28,和平紀念日,2,放假之紀念日及節日,全國各機關學校放假一日，適逢星期六，於二月二十七日補假一日。
2015-03-01,,2,星期六、星期日,
2015-03-07,,2,星期六、星期日,
2015-03-08,,2,星期六、星期日,
2015-03-14,,2,星期六、星期日,
2015-03-15,,2,星期六、星期日,
2015-03-21,,2,星期六、星期日,
2015-03-22,,2,星期六、星期日,
2015-03-28,,2,星期六、星期日,
2015-03-29,,2,星期六、星期日,
2015-04-03,,2,補假,
2015-04-04,兒童節,2,放假之紀念日及節日,全國各機關學校放假一日，適逢星期六，於四月三日補假一日。
2015-04-05,民族掃墓節（清明節）,2,放假之紀念日及節日,全國各機關學校放假一日，適逢星期日，於四月六日補假一日。
2015-04-06,,2,補假,
2015-04-11,,2,星期六、星期日,
2015-04-12,,2,星期六、星期日,
2015-04-18,,2,星期六、星期日,
2015-04-19,,2,星期六、星期日,
2015-04-25,,2,星期六、星期日,
2015-04-26,,2,星期六、星期日,
2015-05-01,勞動節,2,特定節日,勞工放假一日。
2015-05-02,,2,星期六、星期日,
2015-05-03,,2,星期六、星期日,
2015-05-09,,2,星期六、星期日,
2015-05-10,,2,星期六、星期日,
2015-05-16,,2,星期六、星期日,
2015-05-17,,2,星期六、星期日,
2015-05-23,,2,星期六、星期日,
2015-05-24,,2,星期六、星期日,
2015-05-30,,2,星期六、星期日,
2015-05-31,,2,星期六、星期日,
2015-06-06,,2,星期六、星期日,
2015-06-07,,2,星期六、星期日,
2015-06-13,,2,星期六、星期日,
2015-06-14,,2,星期六、星期日,
2015-06-19,,2,補假,
2015-06-20,端午節,2,放假之紀念日及節日,全國各機關學校放假一日，適逢星期六，於六月十九日補假一日。
2015-06-21,,2,星期六、星期日,
2015-06-27,,2,星期六、星期日,
2015-06-28,,2,星期六、星期日,
2015-07-04,,2,星期六、星期日,
2015-07-05,,2,星期六、星期日,
2015-07-11,,2,星期六、星期日,
2015-07-12,,2,星期六、星期日,
2015-07-18,,2,星期六、星期日,
2015-07-19,,2,星期六、星期日,
2015-07-25,,2,星期六、星期日,
2015-07-26,,2,星期六、星期日,
2015-08-01,,2,星期六、星期日,
2015-08-02,,2,星期六、星期日,
2015-08-08,,2,星期六、星期日,
2015-08-09,,2,星期六、星期日,
2015-08-15,,2,星期六、星期日,
2015-08-16,,2,星期六、星期日,
2015-08-22,,2,星期六、星期日,
2015-08-23,,2,星期六、星期日,
2015-08-29,,2,星期六、星期日,
2015-08-30,,2,星期六、星期日,
2015-09-03,軍人節,2,特定節日,軍人依國防部規定辦理
2015-09-05,,2,星期六、星期日,
2015-09-06,,2,星期六、星期日,
2015-09-12,,2,星期六、星期日,
2015-09-13,,2,星期六、星期日,
2015-09-19,,2,星期六、星期日,
2015-09-20,,2,星期六、星期日,
2015-09-26,,2,星期六、星期日,
2015-09-27,中秋節,2,放假之紀念日及節日,全國各機關學校放假一日，適逢星期日，於九月二十八日補假一日。
2015-09-28,,2,補假,
2015-10-03,,2,星期六、星期日,
2015-10-04,,2,星期六、星期日,
2015-10-09,,2,補假,
2015-10-10,國慶日,2,放假之紀念日及節日,全國各機關學校放假一日，適逢星期六，於十月九日補假一日。
2015-10-11,,2,星期六、星期日,
2015-10-17,,2,星期六、星期日,
2015-10-18,,2,星期六、星期日,
2015-10-24,,2,星期六、星期日,
2015-10-25,,2,星期六、星期日,
2015-10-31,,2,星期六、星期日,
2015-11-01,,2,星期六、星期日,
2015-11-07,,2,星期六、星期日,
2015-11-08,,2,星期六、星期日,
2015-11-14,,2,星期六、星期日,
2015-11-15,,2,星期六、星期日,
2015-11-21,,2,星期六、星期日,
2015-11-22,,2,星期六、星期日,
2015-11-28,,2,星期六、星期日,
2015-11-29,,2,星期六、星期日,
2015-12-05,,2,星期六、星期日,
2015-12-06,,2,星期六、星期日,
2015-12-12,,2,星期六、星期日,
2015-12-13,,2,星期六、星期日,
2015-12-19,,2,星期六、星期日,
2015-12-20,,2,星期六、星期日,
2015-12-26,,2,星期六、星期日,
2015-12-27,,2,星期六、星期日,
2016-01-01,中華民國開國紀念日,2,放假之紀念日及節日,全國各機關學校放假一日。
2016-01-02,,2,星期六、星期日,
2016-01-03,,2,星期六、星期日,
2016-01-09,,2,星期六、星期日,
2016-01-10,,2,星期六、星期日,
2016-01-16,,2,星期六、星期日,
2016-01-17,,2,星期六、星期日,
2016-01-23,,2,星期六、星期日,
2016-01-24,,2,星期六、星期日,
2016-01-30,,0,補行上班日,
2016-01-31,,2,星期六、星期日,
2016-02-06,,2,星期六、星期日,
2016-02-07,農曆除夕,2,放假之紀念日及節日,全國各機關學校放假一日，適逢星期日，於二月十一日補假一日，調整二月十二日為放假日，並於一月三十日補行上班。
2016-02-08,春節,2,放假之紀念日及節日,全國各機關學校於二月八日至二月十日放假三日。
2016-02-09,春節,2,放假之紀念日及節日,全國各機關學校於二月八日至二月十日放假三日。
2016-02-10,春節,2,放假之紀念日及節日,全國各機關學校於二月八日至二月十日放假三日。
2016-02-11,,2,補假,
2016-02-12,,2,調整放假日,
2016-02-13,,2,星期六、星期日,
2016-02-14,,2,星期六、星期日,
2016-02-20,,2,星期六、星期日,
2016-02-21,,2,星期六、星期日,
2016-02-27,,2,星期六、星期日,
2016-02-28,和平紀念日,2,放假之紀念日及節日,全國各機關學校放假一日，適逢星期日，於二月二十九日補假一日。
2016-02-29,,2,補假,
2016-03-05,,2,星期六、星期日,
2016-03-06,,2,星期六、星期日,
2016-03-12,,2,星期六、星期日,
2016-03-13,,2,星期六、星期日,
2016-03-19,,2,星期六、星期日,
2016-03-20,,2,星期六、星期日,
2016-03-26,,2,星期六、星期日,
2016-03-27,,2,星期六、星期日,
2016-04-02,,2,星期六、星期日,
2016-04-03,,2,放假之紀念日及節日,
2016-04-04,兒童節、民族掃墓節（清明節）,2,放假之紀念日及節日,全國各機關學校放假一日(兒童節與民族掃墓節同一日時，於前一日放假，並於四月五日補假一日)。
2016-04-05,,2,補假,
2016-04-09,,2,星期六、星期日,
2016-04-10,,2,星期六、星期日,
2016-04-16,,2,星期六、星期日,
2016-04-17,,2,星期六、星期日,
2016-04-23,,2,星期六、星期日,
2016-04-24,,2,星期六、星期日,
2016-04-30,,2,星期六、星期日,
2016-05-01,勞動節,2,特定節日,勞工放假一日。
2016-05-07,,2,星期六、星期日,
2016-05-08,,2,星期六、星期日,
2016-05-14,,2,星期六、星期日,
2016-05-15,,2,星期六、星期日,
2016-05-21,,2,星期六、星期日,
2016-05-22,,2,星期六、星期日,
2016-05-28,,2,星期六、星期日,
2016-05-29,,2,星期六、星期日,
2016-06-04,,0,補行上班日,
2016-06-05,,2,星期六、星期日,
2016-06-09,端午節,2,放假之紀念日及節日,全國各機關學校放假一日，適逢星期四，調整六月十日為放假日，並於六月四日補行上班一日。
2016-06-10,,2,調整放假日,
2016-06-11,,2,星期六、星期日,
2016-06-12,,2,星期六、星期日,
2016-06-18,,2,星期六、星期日,
2016-06-19,,2,星期六、星期日,
2016-06-25,,2,星期六、星期日,
2016-06-26,,2,星期六、星期日,
2016-07-02,,2,星期六、星期日,
2016-07-03,,2,星期六、星期日,
2016-07-09,,2,星期六、星期日,
2016-07-10,,2,星期六、星期日,
2016-07-16,,2,星期六、星期日,
2016-07-17,,2,星期六、星期日,
2016-07-23,,2,星期六、星期日,
2016-07-24,,2,星期六、星期日,
2016-07-30,,2,星期六、星期日,
2016-07-31,,2,星期六、星期日,
2016-08-06,,2,星期六、星期日,
2016-08-07,,2,星期六、星期日,
2016-08-13,,2,星期六、星期日,
2016-08-14,,2,星期六、星期日,
2016-08-20,,2,星期六、星期日,
2016-08-21,,2,星期六、星期日,
2016-08-27,,2,星期六、星期日,
2016-08-28,,2,星期六、星期日,
2016-09-03,軍人節,2,特定節日,軍人依國防部規定辦理。
2016-09-04,,2,星期六、星期日,
2016-09-10,,0,補行上班日,
2016-09-11,,2,星期六、星期日,
