106年01月22日 03時05分00秒,死亡1,受傷0,自用-小貨車(含客、貨兩用)
106年01月22日 03時05分00秒,死亡1,受傷0,自用-小貨車(含客、貨兩用)
106年01月22日 08時40分00秒,死亡1,受傷0,普通重型-機車
106年01月22日 21時46分00秒,死亡1,受傷0,營業用-大貨車
106年01月23日 07時53分00秒,死亡1,受傷0,普通重型-機車
106年01月23日 08時45分00秒,死亡1,受傷0,自用-小貨車(含客、貨兩用)
106年01月23日 18時20分00秒,死亡1,受傷0,自用-小貨車(含客、貨兩用)
106年01月24日 04時05分00秒,死亡1,受傷0,行人-人
106年01月24日 04時56分00秒,死亡1,受傷1,自用-小客車
106年01月24日 06時08分00秒,死亡1,受傷0,腳踏自行車-慢車
106年01月25日 06時46分00秒,死亡1,受傷0,行人-人
106年01月25日 06時53分00秒,死亡1,受傷1,普通重型-機車
106年01月25日 08時27分00秒,死亡1,受傷0,普通重型-機車
106年01月25日 16時03分00秒,死亡1,受傷1,腳踏自行車-慢車
106年01月26日 23時00分00秒,死亡1,受傷0,自用-小貨車(含客、貨兩用)
106年01月27日 08時00分00秒,死亡1,受傷0,大型重型1(550C.C.以上)-機車
106年01月27日 18時45分00秒,死亡1,受傷0,計程車-小客車
106年01月28日 01時40分00秒,死亡1,受傷0,普通重型-機車
106年01月28日 07時28分00秒,死亡1,受傷0,普通重型-機車
106年01月28日 15時25分00秒,死亡1,受傷1,普通重型-機車
106年01月28日 16時21分00秒,死亡1,受傷1,普通重型-機車
106年01月28日 18時19分00秒,死亡1,受傷0,普通重型-機車
106年01月28日 18時21分00秒,死亡1,受傷0,普通重型-機車
106年01月28日 23時05分00秒,死亡1,受傷2,普通重型-機車
106年01月29日 23時27分00秒,死亡1,受傷1,普通重型-機車
106年01月30日 03時35分00秒,死亡1,受傷0,其他慢車-慢車
106年01月30日 17時56分00秒,死亡1,受傷1,普通重型-機車
106年01月31日 10時20分00秒,死亡1,受傷0,自用-小客車
106年01月31日 11時25分00秒,死亡1,受傷0,普通重型-機車
106年01月31日 15時29分00秒,死亡1,受傷0,其他特種車-特種車
106年02月01日 18時15分00秒,死亡1,受傷0,自用-小客車
106年02月02日 19時52分00秒,死亡1,受傷0,腳踏自行車-慢車
106年02月03日 00時52分00秒,死亡1,受傷1,普通重型-機車
106年02月03日 01時38分00秒,死亡1,受傷2,自用-小貨車(含客、貨兩用)
106年02月03日 06時45分00秒,死亡1,受傷0,普通重型-機車
106年02月03日 23時15分00秒,死亡1,受傷0,普通重型-機車
106年02月04日 02時35分00秒,死亡1,受傷0,普通重型-機車
106年02月04日 06時19分00秒,死亡1,受傷2,普通重型-機車
106年02月05日 06時28分00秒,死亡1,受傷1,自用-小客車
106年02月05日 07時16分00秒,死亡1,受傷0,大型重型2(250-550C.C.)-機車
106年02月05日 14時16分00秒,死亡1,受傷0,普通重型-機車
106年02月05日 18時00分00秒,死亡1,受傷0,行人-人
106年02月05日 22時35分00秒,死亡1,受傷0,自用-小客車
106年02月06日 09時45分00秒,死亡1,受傷0,營業用-曳引車
106年02月06日 19時03分00秒,死亡1,受傷0,普通重型-機車
106年02月07日 01時58分00秒,死亡1,受傷0,自用-小客車
106年02月07日 03時05分00秒,死亡1,受傷0,自用-小客車
106年02月07日 05時46分00秒,死亡1,受傷1,租賃車-小客車
106年02月07日 12時53分00秒,死亡1,受傷0,普通重型-機車
106年02月07日 19時59分00秒,死亡1,受傷0,普通重型-機車
106年02月07日 23時34分00秒,死亡1,受傷4,自用-小客車
106年02月08日 05時56分00秒,死亡1,受傷0,腳踏自行車-慢車
106年02月08日 08時02分00秒,死亡1,受傷0,自用-小客車
106年02月08日 08時18分00秒,死亡1,受傷0,普通重型-機車
106年02月08日 18時07分00秒,死亡1,受傷0,自用-小客車
106年02月09日 07時05分00秒,死亡1,受傷0,自用-小客車
106年02月09日 07時42分00秒,死亡1,受傷0,普通重型-機車
106年02月09日 13時30分00秒,死亡1,受傷2,普通重型-機車
106年02月09日 14時03分00秒,死亡1,受傷1,自用-小客車
106年02月10日 11時35分00秒,死亡1,受傷1,自用-小客車
106年02月10日 14時28分00秒,死亡1,受傷0,腳踏自行車-慢車
106年02月10日 16時25分00秒,死亡1,受傷0,行人-人
106年02月10日 20時30分00秒,死亡1,受傷1,自用-小貨車(含客、貨兩用)
106年02月11日 02時29分00秒,死亡1,受傷0,普通重型-機車
106年02月11日 10時55分00秒,死亡1,受傷0,自用-小客車
106年02月11日 16時40分00秒,死亡1,受傷1,行人-人
106年02月12日 10時52分00秒,死亡1,受傷3,普通輕型-機車
106年02月12日 13時41分00秒,死亡1,受傷2,自用-小客車
106年02月12日 22時38分00秒,死亡1,受傷1,普通重型-機車
106年02月12日 23時00分00秒,死亡1,受傷0,普通重型-機車
106年02月13日 08時59分00秒,死亡1,受傷0,營業用-大貨車
106年02月13日 15時30分00秒,死亡1,受傷0,營業用-小貨車(含客、貨兩用)
106年02月13日 18時10分00秒,死亡1,受傷0,自用-小客車
106年02月13日 19時24分00秒,死亡1,受傷1,自用-小客車
106年02月13日 20時57分00秒,死亡33,受傷11,遊覽車-大客車
106年02月14日 03時40分00秒,死亡1,受傷3,營業用-大貨車
106年02月14日 04時40分00秒,死亡1,受傷0,自用-大貨車
106年02月14日 17時20分00秒,死亡1,受傷0,自用-小客車
106年02月14日 17時50分00秒,死亡1,受傷0,普通重型-機車
106年02月15日 00時30分00秒,死亡1,受傷0,自用-小客車
106年02月15日 07時20分00秒,死亡1,受傷1,普通重型-機車
106年02月15日 13時30分00秒,死亡1,受傷1,自用-小客車
106年02月15日 14時10分00秒,死亡1,受傷0,行人-人
106年02月15日 16時20分00秒,死亡1,受傷1,普通重型-機車
106年02月15日 16時46分00秒,死亡1,受傷3,自用-小客車
106年02月16日 02時08分00秒,死亡1,受傷0,普通重型-機車
106年02月16日 11時10分00秒,死亡1,受傷0,普通重型-機車
106年02月16日 15時13分00秒,死亡1,受傷0,普通重型-機車
106年02月16日 18時27分00秒,死亡1,受傷0,普通重型-機車
106年02月16日 22時05分00秒,死亡1,受傷1,普通重型-機車
106年02月17日 14時58分00秒,死亡1,受傷0,營業用-小貨車(含客、貨兩用)
106年02月17日 15時55分00秒,死亡1,受傷0,普通重型-機車
106年02月17日 16時38分00秒,死亡1,受傷1,自用-大貨車
106年02月18日 07時20分00秒,死亡1,受傷0,普通重型-機車
106年02月18日 09時02分00秒,死亡1,受傷0,自用-小客車
106年02月18日 16時10分00秒,死亡1,受傷0,普通重型-機車
106年02月18日 21時58分00秒,死亡1,受傷0,計程車-小客車
106年02月19日 18時10分00秒,死亡1,受傷1,普通重型-機車
106年02月20日 05時19分00秒,死亡1,受傷0,自用-小客車
106年02月20日 08時20分00秒,死亡1,受傷0,普通輕型-機車
106年02月20日 11時10分00秒,死亡1,受傷0,普通重型-機車
106年02月20日 20時10分00秒,死亡1,受傷0,租賃車-小客車
106年02月20日 23時05分00秒,死亡1,受傷1,普通重型-機車
106年02月20日 23時43分00秒,死亡1,受傷0,行人-人
106年02月21日 05時07分00秒,死亡1,受傷0,普通重型-機車
106年02月21日 05時25分00秒,死亡1,受傷2,普通重型-機車
106年02月21日 05時50分00秒,死亡1,受傷0,計程車-小客車
106年02月21日 09時38分00秒,死亡1,受傷0,自用-小客車
106年02月21日 11時55分00秒,死亡1,受傷0,普通重型-機車
106年02月21日 20時09分00秒,死亡1,受傷1,普通重型-機車
106年02月21日 23時06分00秒,死亡1,受傷1,普通重型-機車
106年02月21日 23時08分00秒,死亡1,受傷1,普通重型-機車
106年02月21日 23時20分00秒,死亡1,受傷0,自用-小貨車(含客、貨兩用)
106年02月22日 05時30分00秒,死亡1,受傷1,普通重型-機車
106年02月22日 10時40分00秒,死亡1,受傷0,自用-小貨車(含客、貨兩用)
106年02月23日 00時50分00秒,死亡1,受傷0,普通重型-機車
106年02月23日 10時28分00秒,死亡1,受傷0,自用-小客車
106年02月23日 10時50分00秒,死亡1,受傷0,自用-小貨車(含客、貨兩用)
106年02月23日 16時28分00秒,死亡1,受傷1,行人-人
106年02月23日 18時15分00秒,死亡1,受傷1,普通重型-機車
106年02月23日 20時12分00秒,死亡1,受傷0,普通重型-機車
106年02月24日 04時20分00秒,死亡1,受傷1,普通重型-機車
106年02月24日 18時40分00秒,死亡1,受傷1,普通重型-機車
106年02月24日 19時20分00秒,死亡1,受傷1,普通重型-機車
106年02月25日 05時13分00秒,死亡1,受傷0,自用-小客車
106年02月25日 09時52分00秒,死亡1,受傷1,腳踏自行車-慢車
106年02月25日 13時27分00秒,死亡1,受傷0,普通重型-機車
106年02月25日 18時10分00秒,死亡1,受傷1,普通重型-機車
106年02月25日 18時30分00秒,死亡1,受傷3,自用-小客車
106年02月25日 20時20分00秒,死亡1,受傷1,普通重型-機車
106年02月26日 05時58分00秒,死亡1,受傷0,普通重型-機車
106年02月26日 19時33分00秒,死亡1,受傷0,腳踏自行車-慢車
106年02月26日 20時12分00秒,死亡1,受傷1,普通重型-機車
106年02月26日 21時10分00秒,死亡1,受傷0,自用-小貨車(含客、貨兩用)
106年02月27日 11時05分00秒,死亡1,受傷0,普通重型-機車
106年02月27日 14時08分00秒,死亡1,受傷0,普通重型-機車
106年02月27日 17時28分00秒,死亡1,受傷0,普通重型-機車
106年02月27日 18時10分00秒,死亡1,受傷1,自用-小客車
106年02月27日 22時58分00秒,死亡1,受傷0,自用-小客車
106年02月28日 10時25分00秒,死亡1,受傷0,自用-小客車
106年02月28日 19時06分00秒,死亡1,受傷0,自用-小貨車(含客、貨兩用)
106年02月28日 23時48分00秒,死亡1,受傷1,普通重型-機車
106年03月01日 02時40分00秒,死亡1,受傷2,自用-小客車
106年03月01日 09時14分00秒,死亡1,受傷0,民營客運-大客車
106年03月02日 04時37分00秒,死亡1,受傷1,大型重型1(550C.C.以上)-機車
106年03月02日 06時00分00秒,死亡1,受傷0,自用-大貨車
106年03月03日 07時35分00秒,死亡1,受傷0,營業用-大貨車
106年03月03日 08時12分00秒,死亡1,受傷0,普通輕型-機車
106年03月04日 08時30分00秒,死亡1,受傷0,普通重型-機車
106年03月04日 12時15分00秒,死亡1,受傷2,普通重型-機車
106年03月04日 18時00分00秒,死亡1,受傷1,自用-小客車
106年03月05日 11時34分00秒,死亡1,受傷0,自用-小客車
106年03月05日 13時46分00秒,死亡1,受傷0,普通重型-機車
106年03月05日 14時43分00秒,死亡1,受傷0,大型重型1(550C.C.以上)-機車
106年03月05日 16時10分00秒,死亡1,受傷0,普通重型-機車
106年03月05日 16時12分00秒,死亡1,受傷0,普通重型-機車
106年03月06日 05時53分00秒,死亡1,受傷0,計程車-小客車
106年03月06日 09時24分00秒,死亡1,受傷0,自用-小客車
106年03月06日 13時25分00秒,死亡1,受傷0,自用-小客車
106年03月06日 18時41分00秒,死亡1,受傷8,自用-小客車
106年03月07日 12時40分00秒,死亡1,受傷0,營業用-半聯結車
106年03月07日 12時51分00秒,死亡1,受傷0,自用-大貨車
106年03月07日 14時05分00秒,死亡1,受傷1,普通重型-機車
106年03月07日 14時12分00秒,死亡1,受傷0,自用-小客車
106年03月07日 14時19分00秒,死亡1,受傷1,普通重型-機車
106年03月07日 18時28分00秒,死亡1,受傷0,自用-小客車
106年03月07日 18時33分00秒,死亡1,受傷2,普通重型-機車
106年03月07日 22時05分00秒,死亡1,受傷4,普通重型-機車
106年03月08日 02時35分00秒,死亡1,受傷1,自用-小客車
106年03月08日 09時45分00秒,死亡1,受傷0,自用-大貨車
106年03月08日 09時48分00秒,死亡1,受傷1,普通輕型-機車
106年03月08日 18時32分00秒,死亡1,受傷0,民營客運-大客車
106年03月08日 18時42分00秒,死亡1,受傷0,租賃車-小客車
106年03月09日 08時35分00秒,死亡1,受傷1,自用-小貨車(含客、貨兩用)
106年03月09日 10時30分00秒,死亡1,受傷0,營業用-曳引車
106年03月09日 14時02分00秒,死亡1,受傷0,普通重型-機車
106年03月09日 17時12分00秒,死亡1,受傷2,普通重型-機車
106年03月10日 10時34分00秒,死亡1,受傷0,自用-大貨車
106年03月10日 20時23分00秒,死亡1,受傷0,行人-人
106年03月10日 22時16分00秒,死亡1,受傷2,自用-小客車
106年03月12日 16時08分00秒,死亡1,受傷0,民營公車-大客車
106年03月12日 19時26分00秒,死亡1,受傷1,營業用-大貨車
106年03月13日 12時42分00秒,死亡2,受傷1,自用-大貨車
106年03月13日 19時02分00秒,死亡1,受傷0,拖車(架)-其他車
106年03月14日 12時30分00秒,死亡1,受傷0,計程車-小客車
106年03月14日 13時03分00秒,死亡1,受傷0,普通重型-機車
106年03月14日 16時30分00秒,死亡1,受傷0,普通重型-機車
106年03月15日 12時50分00秒,死亡1,受傷0,普通重型-機車
106年03月16日 13時42分00秒,死亡1,受傷0,普通重型-機車
106年03月16日 23時09分00秒,死亡1,受傷1,普通重型-機車
106年03月17日 19時10分00秒,死亡1,受傷1,普通重型-機車
106年03月17日 21時24分00秒,死亡1,受傷0,行人-人
106年03月18日 02時11分00秒,死亡1,受傷0,計程車-小客車
106年03月18日 06時37分00秒,死亡1,受傷0,自用-小客車
106年03月18日 10時00分00秒,死亡1,受傷1,普通重型-機車
106年03月18日 10時15分00秒,死亡1,受傷0,自用-小貨車(含客、貨兩用)
106年03月18日 14時44分00秒,死亡1,受傷0,自用-大貨車
106年03月19日 06時13分00秒,死亡1,受傷0,計程車-小客車
106年03月19日 12時20分00秒,死亡2,受傷0,自用-小客車
106年03月19日 22時23分00秒,死亡1,受傷0,行人-人
106年03月20日 07時11分00秒,死亡1,受傷0,普通重型-機車
106年03月20日 09時20分00秒,死亡1,受傷0,普通重型-機車
106年03月21日 07時21分00秒,死亡1,受傷0,普通重型-機車
106年03月21日 11時58分00秒,死亡1,受傷1,普通重型-機車
106年03月21日 12時28分00秒,死亡1,受傷2,普通重型-機車
106年03月21日 12時47分00秒,死亡1,受傷0,營業用-半聯結車
106年03月21日 17時59分00秒,死亡1,受傷0,普通重型-機車
106年03月21日 18時59分00秒,死亡1,受傷1,普通重型-機車
106年03月21日 23時55分00秒,死亡1,受傷0,普通重型-機車
106年03月22日 05時23分00秒,死亡1,受傷0,自用-小貨車(含客、貨兩用)
106年03月22日 07時30分00秒,死亡1,受傷2,普通重型-機車
106年03月22日 11時44分00秒,死亡1,受傷0,自用-小客車
106年03月22日 14時50分00秒,死亡1,受傷0,普通重型-機車
106年03月22日 16時00分00秒,死亡1,受傷0,行人-人
106年03月22日 18時30分00秒,死亡1,受傷0,普通重型-機車
106年03月22日 19時38分00秒,死亡1,受傷2,民營公車-大客車
106年03月23日 07時21分00秒,死亡1,受傷0,普通輕型-機車
106年03月23日 11時53分00秒,死亡1,受傷0,租賃車-小客車
106年03月23日 13時10分00秒,死亡1,受傷0,普通重型-機車
106年03月23日 18時49分00秒,死亡1,受傷0,行人-人
106年03月23日 20時05分00秒,死亡2,受傷1,自用-小客車
106年03月24日 00時25分00秒,死亡1,受傷1,普通重型-機車
106年03月24日 10時00分00秒,死亡1,受傷0,自用-小貨車(含客、貨兩用)
106年03月24日 11時08分00秒,死亡1,受傷0,自用-小貨車(含客、貨兩用)
106年03月24日 17時00分00秒,死亡1,受傷0,普通重型-機車
106年03月25日 00時10分00秒,死亡1,受傷0,自用-小客車
106年03月26日 05時35分00秒,死亡1,受傷1,普通重型-機車
106年03月26日 11時38分00秒,死亡1,受傷1,普通重型-機車
106年03月26日 12時46分00秒,死亡1,受傷0,普通重型-機車
106年03月27日 07時16分00秒,死亡1,受傷0,普通重型-機車
106年03月27日 18時20分00秒,死亡1,受傷1,普通重型-機車
106年03月28日 01時51分00秒,死亡1,受傷0,普通重型-機車
106年03月28日 05時09分00秒,死亡1,受傷2,自用-小客車
106年03月28日 06時50分00秒,死亡1,受傷0,自用-小客車
106年03月28日 07時37分00秒,死亡1,受傷0,行人-人
106年03月28日 09時45分00秒,死亡1,受傷0,自用-大貨車
106年03月28日 15時00分00秒,死亡1,受傷0,營業用-全聯結車
106年03月28日 16時10分00秒,死亡1,受傷0,普通重型-機車
106年03月28日 23時27分00秒,死亡1,受傷1,自用-小客車
106年03月29日 11時35分00秒,死亡1,受傷1,普通重型-機車
106年03月29日 14時06分00秒,死亡2,受傷0,自用-小貨車(含客、貨兩用)
106年03月30日 07時10分00秒,死亡1,受傷1,計程車-小客車
106年03月30日 18時56分00秒,死亡1,受傷0,普通重型-機車
106年03月30日 21時58分00秒,死亡1,受傷0,普通重型-機車
106年03月31日 08時17分00秒,死亡1,受傷0,自用-小貨車(含客、貨兩用)
106年03月31日 11時00分00秒,死亡1,受傷0,自用-小客車
106年03月31日 15時59分00秒,死亡1,受傷0,自用-小客車
106年03月31日 16時08分00秒,死亡1,受傷0,普通重型-機車
106年04月01日 04時56分00秒,死亡1,受傷1,行人-人
106年04月01日 11時35分00秒,死亡1,受傷1,自用-小客車
106年04月01日 12時56分00秒,死亡1,受傷1,自用-大貨車
106年04月01日 14時28分00秒,死亡1,受傷0,自用-小客車
106年04月01日 20時15分00秒,死亡1,受傷0,自用-小客車
106年04月01日 22時08分00秒,死亡1,受傷1,普通重型-機車
106年04月02日 05時36分00秒,死亡1,受傷0,自用-小客車
106年04月02日 09時15分00秒,死亡2,受傷1,大型重型1(550C.C.以上)-機車
106年04月03日 03時05分00秒,死亡1,受傷0,自用-小客車
106年04月03日 04時20分00秒,死亡1,受傷0,普通重型-機車
106年04月03日 07時33分00秒,死亡1,受傷1,普通重型-機車
106年04月03日 11時04分00秒,死亡1,受傷0,腳踏自行車-慢車
106年04月03日 12時49分00秒,死亡1,受傷2,普通重型-機車
106年04月03日 13時50分00秒,死亡1,受傷0,自用-大貨車
106年04月03日 22時08分00秒,死亡1,受傷0,普通重型-機車
106年04月03日 22時45分00秒,死亡1,受傷0,普通重型-機車
106年04月04日 04時50分00秒,死亡1,受傷0,自用-小客車
106年04月04日 07時03分00秒,死亡1,受傷0,普通重型-機車
106年04月04日 07時48分00秒,死亡1,受傷0,自用-小貨車(含客、貨兩用)
106年04月04日 08時47分00秒,死亡1,受傷0,普通重型-機車
106年04月04日 12時59分00秒,死亡1,受傷0,大型重型1(550C.C.以上)-機車
106年04月04日 23時23分00秒,死亡1,受傷0,自用-小客車
106年04月05日 03時40分00秒,死亡1,受傷0,自用-小貨車(含客、貨兩用)
106年04月05日 04時50分00秒,死亡1,受傷0,普通重型-機車
106年04月05日 07時29分00秒,死亡1,受傷0,行人-人
106年04月05日 11時05分00秒,死亡1,受傷0,普通重型-機車
106年04月05日 15時40分00秒,死亡1,受傷3,自用-小客車
106年04月05日 18時17分00秒,死亡1,受傷1,普通重型-機車
106年04月06日 16時10分00秒,死亡1,受傷1,普通重型-機車
106年04月07日 07時24分00秒,死亡1,受傷0,普通重型-機車
106年04月07日 08時25分00秒,死亡1,受傷1,行人-人
106年04月07日 10時02分00秒,死亡1,受傷0,自用-小客車
106年04月07日 11時30分00秒,死亡1,受傷1,普通重型-機車
106年04月08日 09時26分00秒,死亡1,受傷0,大型重型1(550C.C.以上)-機車
106年04月08日 10時53分00秒,死亡1,受傷0,普通重型-機車
106年04月08日 12時42分00秒,死亡2,受傷0,自用-小貨車(含客、貨兩用)
106年04月08日 12時50分00秒,死亡1,受傷0,大型重型2(250-550C.C.)-機車
106年04月08日 15時55分00秒,死亡1,受傷0,自用-大貨車
106年04月08日 16時03分00秒,死亡1,受傷0,普通重型-機車
106年04月08日 17時20分00秒,死亡1,受傷1,自用-小客車
106年04月09日 03時28分00秒,死亡1,受傷0,普通重型-機車
106年04月09日 03時57分00秒,死亡1,受傷0,普通重型-機車
106年04月09日 07時30分00秒,死亡1,受傷1,大型重型1(550C.C.以上)-機車
